,date,co,no2,o3,so2,pm2_5,pm10,minTempC,maxTempC,avgTempC,windSpeed,windDirection,humidity,visibility,pressure,heatIndex,dewPoint,windChill,windGust
0,2023-03-12,3731.1750106811523,60.174999425808586,55.20833366022756,40.18333351612091,283.9458335240682,356.866668065389,20,38,28,9,217,17,10,1013,27,1,28,11
1,2023-03-13,1874.7749938964844,36.94583328564962,55.495834086711206,26.116666595141094,164.19999917348227,214.4583330154419,23,39,30,13,271,16,10,1010,29,0,30,15
2,2023-03-14,1821.3541666666667,37.12916646401087,64.27083338610828,22.820833265781403,142.68749841054282,191.39583206176758,23,40,30,20,302,14,10,1007,29,-1,30,22
3,2023-03-15,4513.620814005534,85.26666675011317,49.39999956109872,67.30833395322163,352.71666590372723,449.90833218892413,22,40,30,20,276,14,10,1006,29,-1,30,22
4,2023-03-16,3567.284253572163,109.2842085988898,70.38947396529348,59.6789480008577,237.01052916677375,309.55263077585323,23,40,30,19,209,12,10,1006,29,-3,30,21
5,2023-03-17,,,,,,,23,35,27,24,251,29,10,1007,26,7,27,26
6,2023-03-18,,,,,,,22,36,28,12,103,31,10,1008,28,9,28,14
7,2023-03-19,,,,,,,21,37,27,26,186,36,10,1007,27,9,27,28
8,2023-03-20,,,,,,,20,32,24,24,118,50,10,1008,24,12,24,26
9,2023-03-21,,,,,,,19,33,25,10,133,43,10,1008,26,11,25,10
10,2023-03-22,,,,,,,21,34,28,15,315,28,10,1008,27,6,28,17
11,2023-03-23,,,,,,,24,35,29,15,214,20,10,1008,27,3,29,17
12,2023-03-24,,,,,,,23,33,27,22,288,33,10,1008,27,9,27,24
13,2023-03-25,,,,,,,22,37,29,17,304,28,10,1007,28,7,29,18
