,latitude,longitude,pairing,type
0,19.125,73.0,1,weather
1,19.125,72.875,2,weather
2,19.25,72.875,3,weather
3,18.875,73.0,4,weather
4,19.25,73.0,5,weather
5,19.25,73.125,6,weather
6,19.044,73.0325,1,air_quality
7,19.1135051,73.008978,1,air_quality
8,19.053536,72.84643,2,air_quality
9,19.1375,72.915056,2,air_quality
10,19.23241,72.86895,3,air_quality
11,19.1653323,72.922099,2,air_quality
12,18.96702,72.84214,4,air_quality
13,18.9936162,72.8128113,2,air_quality
14,19.10861,72.83622,2,air_quality
15,19.192056,72.9585188,5,air_quality
16,19.25292,73.142019,6,air_quality
17,19.047,72.8746,2,air_quality
18,19.2058,72.8682,3,air_quality
19,19.175,72.9419,1,air_quality
20,19.19709,72.82204,3,air_quality
21,19.008751,73.01662,2,air_quality
22,19.000083,72.813993,2,air_quality
23,19.072830200195,72.882606506348,2,air_quality
24,19.0863,72.8888,2,air_quality
25,19.10078,72.87462,2,air_quality
26,19.2243333,72.8658113,3,air_quality
27,19.04946,72.923,2,air_quality
